"","PORO","PERMX"
"99",0.087,63.62318
"100",0.087,67.26822
"101",0.087,73.98063
"102",0.087,45.19595
"103",0.087,42.91018
"104",0.087,75.42314
"105",0.087,92.84066
"106",0.087,123.21178
"107",0.087,104.161
"108",0.087,131.49677
"109",0.087,77.80956
"110",0.087,60.96303
"111",0.087,34.2575
"112",0.087,34.32304
"113",0.087,70.02726
"114",0.087,74.91326
"115",0.087,75.89129
"116",0.087,57.44796
"117",0.087,50.23544
"118",0.087,50.58851
"119",0.087,22.6649
"120",0.087,13.35911
"121",0.087,24.65101
"122",0.087,70.35672
"123",0.087,215.56061
"124",0.087,260.48828
"125",0.087,156.01474
"126",0.087,244.67084
"127",0.087,238.77138
"128",0.087,195.69983
"129",0.087,52.97323
"130",0.087,32.02415
"131",0.087,17.46502
"132",0.087,7.53117
"133",0.087,3.57701
"134",0.087,15.69247
"135",0.087,29.91122
"136",0.087,45.41264
"137",0.087,49.76132
"138",0.087,61.20801
"139",0.087,49.70837
"140",0.087,49.29749
"141",0.087,38.05762
"142",0.087,54.22025
"143",0.087,28.43002
"144",0.087,38.49189
"145",0.087,28.29984
"146",0.087,30.42125
"147",0.087,49.87522
"148",0.087,117.74652
"149",0.087,69.63351
"150",0.087,36.13369
"151",0.087,39.40015
"152",0.087,29.00747
"153",0.087,36.86931
"154",0.087,24.69203
"155",0.087,55.97767
"156",0.087,62.18779
"157",0.087,51.83789
"158",0.087,45.9609
"159",0.087,36.59318
"160",0.087,20.63409
"161",0.087,39.60738
"162",0.087,70.79762
"163",0.087,124.26639
"164",0.087,221.97517
"165",0.087,158.09698
"166",0.087,90.48608
"167",0.087,179.74715
"168",0.087,88.88114
"169",0.087,19.47468
"170",0.087,9.07348
"171",0.087,5.21044
"172",0.087,1.9131
"173",0.087,1.79186
"174",0.087,5.18784
"175",0.087,16.32883
"176",0.087,28.71114
"177",0.087,65.71085
"178",0.087,56.60804
"179",0.087,50.18761
"180",0.087,46.84903
"181",0.087,43.65871
"182",0.087,65.78822
"183",0.087,23.68493
"184",0.087,15.76183
"185",0.087,16.68108
"186",0.087,16.92832
"187",0.087,10.04657
"188",0.087,43.19553
"189",0.087,48.64053
"190",0.087,34.87072
"191",0.087,29.39891
"192",0.087,23.22993
"193",0.087,32.52965
"194",0.087,47.11551
"195",0.087,45.0547
"196",0.087,110.37705
"197",0.087,119.77
"198",0.087,70.89707
"199",0.087,43.75639
"200",0.087,28.57711
"201",0.087,49.26489
"202",0.087,106.09658
"203",0.087,180.04483
"204",0.087,173.96669
"205",0.087,135.04156
"206",0.087,95.37134
"207",0.087,128.6093
"208",0.087,109.19878
"209",0.087,25.70411
"210",0.087,8.48244
"211",0.087,3.50971
"212",0.087,0.88219
"213",0.087,0.69113
"214",0.087,3.96534
"215",0.087,6.72869
"216",0.087,19.23859
"217",0.087,45.18797
"218",0.087,84.96342
"219",0.087,51.96136
"220",0.087,29.75587
"221",0.087,32.00852
"222",0.087,15.67867
"223",0.087,10.32717
"224",0.087,6.89656
"225",0.087,7.97969
"226",0.087,4.99072
"227",0.087,6.02916
"228",0.087,17.19686
"229",0.087,15.72076
"230",0.087,14.90018
"231",0.087,9.93032
"232",0.087,14.15702
"233",0.087,22.96221
"234",0.087,61.51944
"235",0.087,85.89286
"236",0.087,112.94045
"237",0.087,141.58711
"238",0.087,107.90712
"239",0.087,73.76108
"240",0.087,65.85435
"241",0.087,108.08937
"242",0.087,217.65283
"243",0.087,178.44434
"244",0.087,178.86568
"245",0.087,71.67305
"246",0.087,92.96909
"247",0.087,127.75567
"248",0.087,63.29839
"249",0.087,26.15004
"250",0.087,6.36341
"251",0.087,2.54268
"252",0.087,0.79125
"253",0.087,0.89641
"254",0.087,2.68427
"255",0.087,6.02914
"256",0.087,15.51228
"257",0.087,22.46493
"258",0.087,23.33935
"259",0.087,41.84973
"260",0.087,23.47423
"261",0.087,23.42366
"262",0.087,8.29987
"263",0.087,5.32479
"264",0.087,2.73111
"265",0.087,2.15237
"266",0.087,1.42826
"267",0.087,1.97198
"268",0.087,3.0567
"269",0.087,6.23868
"270",0.087,6.17422
"271",0.087,9.0197
"272",0.087,13.22861
"273",0.087,16.06894
"274",0.087,36.66752
"275",0.087,71.5761
"276",0.087,94.65448
"277",0.087,107.65578
"278",0.087,79.3699
"279",0.087,87.85102
"280",0.087,80.49588
"281",0.087,224.15576
"282",0.087,137.74748
"283",0.087,176.48239
"284",0.087,214.83649
"285",0.087,146.14566
"286",0.087,115.38859
"287",0.087,153.21672
"288",0.087,42.40363
"289",0.087,21.26687
"290",0.087,4.62853
"291",0.087,1.25774
"292",0.087,0.77512
"293",0.087,1.25726
"294",0.087,0.99605
"295",0.087,4.25463
"296",0.087,7.81158
"297",0.087,7.17442
"298",0.087,16.2296
"299",0.087,36.62643
"300",0.087,11.28163
"301",0.087,14.21377
"302",0.087,9.38961
"303",0.087,2.41218
"304",0.087,1.05012
"305",0.087,0.27648
"306",0.087,0.37178
"307",0.087,0.55066
"308",0.087,1.55995
"309",0.087,4.74804
"310",0.087,5.08975
"311",0.087,8.14904
"312",0.087,12.3634
"313",0.087,19.28827
"314",0.087,31.36774
"315",0.087,27.7699
"316",0.087,31.23139
"317",0.087,50.55497
"318",0.087,83.71329
"319",0.087,84.24644
"320",0.087,80.21038
"321",0.087,140.85612
"322",0.087,200.71979
"323",0.087,187.37482
"324",0.087,183.7688
"325",0.087,171.06921
"326",0.087,168.92534
"327",0.087,91.5844
"328",0.087,36.4629
"329",0.087,10.63629
"330",0.087,2.31856
"331",0.087,1.71467
"332",0.087,2.03334
"333",0.087,1.90928
"334",0.087,2.02529
"335",0.087,3.88793
"336",0.087,4.72317
"337",0.087,7.83912
"338",0.087,10.15103
"339",0.087,18.80906
"340",0.087,18.37718
"341",0.087,10.61259
"342",0.087,6.11696
"343",0.087,1.21205
"344",0.087,0.42363
"345",0.087,0.18814
"346",0.087,0.2519
"347",0.087,0.40831
"348",0.087,1.22275
"349",0.087,3.31301
"350",0.087,3.61024
"351",0.087,9.49453
"352",0.087,20.88119
"353",0.087,25.55185
"354",0.087,42.13712
"355",0.087,44.22966
"356",0.087,32.93379
"357",0.087,35.84029
"358",0.087,42.15533
"359",0.087,77.95589
"360",0.087,76.00267
"361",0.087,123.45905
"362",0.087,110.89682
"363",0.087,142.59633
"364",0.087,115.55125
"365",0.087,164.01022
"366",0.087,115.32066
"367",0.087,92.9566
"368",0.087,29.54303
"369",0.087,13.54466
"370",0.087,4.61837
"371",0.087,3.55762
"372",0.087,3.64474
"373",0.087,3.0252
"374",0.087,3.77711
"375",0.087,6.27464
"376",0.087,2.72618
"377",0.087,6.06449
"378",0.087,6.16386
"379",0.087,12.42443
"380",0.087,18.40116
"381",0.087,16.58146
"382",0.087,9.57311
"383",0.087,1.88825
"384",0.087,0.5624
"385",0.087,0.05118
"386",0.087,0.17156
"387",0.087,0.82709
"388",0.087,1.16406
"389",0.087,3.69278
"390",0.087,6.29919
"391",0.087,10.50799
"392",0.087,11.76753
"393",0.087,15.7821
"394",0.087,25.71795
"395",0.087,44.83043
"396",0.087,46.19787
"397",0.087,18.03032
"398",0.087,26.46298
"399",0.087,53.19104
"400",0.087,83.42198
"401",0.087,40.26731
"402",0.087,84.85548
"403",0.087,134.2476
"404",0.087,120.95473
"405",0.087,206.27162
"406",0.087,97.59766
"407",0.087,46.32898
"408",0.087,32.02151
"409",0.087,10.12564
"410",0.087,6.05756
"411",0.087,5.04768
"412",0.087,5.23188
"413",0.087,5.47539
"414",0.087,4.83961
"415",0.087,2.58004
"416",0.087,2.06184
"417",0.087,4.5897
"418",0.087,8.06882
"419",0.087,12.35506
"420",0.087,20.68172
"421",0.087,29.7527
"422",0.087,9.53031
"423",0.087,4.02379
"424",0.087,2.24677
"425",0.087,0.4575
"426",0.087,0.93433
"427",0.087,1.09968
"428",0.087,2.20785
"429",0.087,4.13013
"430",0.087,6.01167
"431",0.087,15.51156
"432",0.087,12.3025
"433",0.087,11.39293
"434",0.087,27.31957
"435",0.087,45.26055
"436",0.087,27.93951
"437",0.087,27.584
"438",0.087,29.06222
"439",0.087,46.78679
"440",0.087,70.51919
"441",0.087,32.08858
"442",0.087,58.35345
"443",0.087,83.47207
"444",0.087,121.96347
"445",0.087,184.53038
"446",0.087,104.38405
"447",0.087,82.95347
"448",0.087,23.69051
"449",0.087,8.91293
"450",0.087,6.7267
"451",0.087,8.24399
"452",0.087,6.21588
"453",0.087,4.95758
"454",0.087,4.05753
"455",0.087,3.32088
"456",0.087,5.02809
"457",0.087,6.01266
"458",0.087,9.66736
"459",0.087,17.64972
"460",0.087,110.57332
"461",0.087,57.42716
"462",0.087,21.57253
"463",0.087,11.03566
"464",0.087,4.54541
"465",0.087,2.11715
"466",0.087,1.98525
"467",0.087,2.35473
"468",0.087,3.07024
"469",0.087,4.69574
"470",0.087,10.67144
"471",0.087,22.31188
"472",0.087,20.72614
"473",0.087,11.54671
"474",0.087,22.94806
"475",0.087,37.30541
"476",0.087,43.5348
"477",0.087,54.22889
"478",0.087,52.21721
"479",0.087,40.05153
"480",0.087,73.70639
"481",0.087,33.1398
"482",0.087,36.08475
"483",0.087,55.9116
"484",0.087,61.28212
"485",0.087,59.92313
"486",0.087,42.48584
"487",0.087,78.00662
"488",0.087,22.48088
"489",0.087,4.99784
"490",0.087,3.12178
"491",0.087,5.07109
"492",0.087,5.25432
"493",0.087,4.01165
"494",0.087,3.42279
"495",0.087,3.87449
"496",0.087,10.12462
"497",0.087,17.83271
"498",0.087,34.46843
"499",0.087,37.06004
"500",0.087,72.73723
"501",0.087,82.34158
"502",0.087,56.55475
"503",0.087,20.07817
"504",0.087,10.99678
"505",0.087,7.70902
"506",0.087,10.31113
"507",0.087,8.75349
"508",0.087,4.53022
"509",0.087,7.14455
"510",0.087,14.3528
"511",0.087,39.12547
"512",0.087,44.54345
"513",0.087,21.53511
"514",0.087,34.46253
"515",0.087,39.81007
"516",0.087,70.45869
"517",0.087,73.24252
"518",0.087,61.94413
"519",0.087,45.7697
"520",0.087,64.14495
"521",0.087,30.99829
"522",0.087,32.3552
"523",0.087,29.37174
"524",0.087,32.66902
"525",0.087,37.43938
"526",0.087,28.93571
"527",0.087,32.22576
"528",0.087,21.76094
"529",0.087,8.80323
"530",0.087,4.62165
"531",0.087,5.32106
"532",0.087,9.07167
"533",0.087,5.66111
"534",0.087,5.26805
"535",0.087,5.1478
"536",0.087,19.05299
"537",0.087,38.7389
"538",0.087,79.59409
"539",0.087,74.63362
"540",0.087,100.51917
"541",0.087,196.34735
"542",0.087,144.59727
"543",0.087,70.60371
"544",0.087,38.2094
"545",0.087,14.57372
"546",0.087,13.79885
"547",0.087,7.71768
"548",0.087,8.75544
"549",0.087,13.43281
"550",0.087,24.22761
"551",0.087,37.15796
"552",0.087,58.78929
"553",0.087,39.32721
"554",0.087,44.30146
"555",0.087,56.55714
"556",0.087,125.19577
"557",0.087,85.31541
"558",0.087,80.05965
"559",0.087,76.22941
"560",0.087,64.71399
"561",0.087,20.18338
"562",0.087,17.06875
"563",0.087,33.89415
"564",0.087,39.89968
"565",0.087,24.17484
"566",0.087,22.23781
"567",0.087,33.9725
"568",0.087,33.50774
"569",0.087,21.87134
"570",0.087,8.4431
"571",0.087,6.9971
"572",0.087,10.30638
"573",0.087,7.77214
"574",0.087,11.00815
"575",0.087,12.0722
"576",0.087,29.88515
"577",0.087,67.42879
"578",0.087,167.64226
"579",0.087,167.21396
"580",0.087,293.34863
"581",0.087,348.70944
"582",0.087,499.50162
"583",0.087,162.70255
"584",0.087,91.16136
"585",0.087,46.47388
"586",0.087,39.21331
"587",0.087,11.85997
"588",0.087,12.08859
"589",0.087,18.62917
"590",0.087,21.50725
"591",0.087,36.22818
"592",0.087,44.15623
"593",0.087,37.72081
"594",0.087,72.00138
"595",0.087,67.82285
"596",0.087,182.54388
"597",0.087,117.36562
"598",0.087,126.18334
"599",0.087,95.8616
"600",0.087,123.95855
"601",0.097,20.46085
"602",0.097,25.55681
"603",0.097,29.05858
"604",0.097,27.87478
"605",0.097,40.18363
"606",0.097,39.15665
"607",0.097,46.16455
"608",0.097,44.32384
"609",0.097,30.71827
"610",0.097,41.8548
"611",0.097,19.19085
"612",0.097,7.44819
"613",0.097,6.96693
"614",0.097,9.0044
"615",0.097,16.59195
"616",0.097,52.03946
"617",0.097,86.45679
"618",0.097,184.72784
"619",0.097,205.86542
"620",0.097,745.76971
"621",0.097,895.74963
"622",0.097,913.53387
"623",0.097,244.58554
"624",0.097,161.97142
"625",0.097,101.89793
"626",0.097,96.64119
"627",0.097,59.79947
"628",0.097,25.06942
"629",0.097,19.82555
"630",0.097,28.78743
"631",0.097,55.80264
"632",0.097,59.47342
"633",0.097,72.4328
"634",0.097,39.08997
"635",0.097,64.00397
"636",0.097,70.85176
"637",0.097,89.8445
"638",0.097,158.20943
"639",0.097,88.76751
"640",0.097,165.02971
"641",0.097,14.87214
"642",0.097,17.14147
"643",0.097,20.37197
"644",0.097,41.56414
"645",0.097,61.96881
"646",0.097,67.96332
"647",0.097,43.0752
"648",0.097,63.79487
"649",0.097,81.42814
"650",0.097,71.72546
"651",0.097,20.28252
"652",0.097,12.24817
"653",0.097,10.55995
"654",0.097,12.91543
"655",0.097,19.79649
"656",0.097,31.78265
"657",0.097,65.80627
"658",0.097,102.42637
"659",0.097,186.08011
"660",0.097,320.97812
"661",0.097,425.8927
"662",0.097,341.34741
"663",0.097,569.75677
"664",0.097,385.8363
"665",0.097,113.37833
"666",0.097,81.69512
"667",0.097,72.91335
"668",0.097,44.78316
"669",0.097,31.75416
"670",0.097,33.24245
"671",0.097,61.51393
"672",0.097,68.02791
"673",0.097,113.74975
"674",0.097,101.00844
"675",0.097,80.23067
"676",0.097,68.18619
"677",0.097,136.46635
"678",0.097,167.62004
"679",0.097,198.66736
"680",0.097,127.84396
"681",0.097,9.65523
"682",0.097,17.59864
"683",0.097,23.07499
"684",0.097,44.08071
"685",0.097,79.85824
"686",0.097,55.96598
"687",0.097,74.40279
"688",0.097,120.47896
"689",0.097,149.95628
"690",0.097,90.44323
"691",0.097,28.94471
"692",0.097,13.56986
"693",0.097,17.3935
"694",0.097,18.00823
"695",0.097,9.20767
"696",0.097,13.12838
"697",0.097,36.55084
"698",0.097,67.88518
"699",0.097,108.19169
"700",0.097,127.76023
"701",0.097,256.42007
"702",0.097,172.04453
"703",0.097,159.01389
"704",0.097,149.01855
"705",0.097,131.22903
"706",0.097,87.20432
"707",0.097,64.61574
"708",0.097,65.82101
"709",0.097,33.96557
"710",0.097,23.3019
"711",0.097,67.43507
"712",0.097,77.44154
"713",0.097,133.54959
"714",0.097,173.98619
"715",0.097,149.38545
"716",0.097,154.79814
"717",0.097,163.41924
"718",0.097,162.21942
"719",0.097,159.75409
"720",0.097,144.82785
"721",0.097,11.9197
"722",0.097,23.53837
"723",0.097,35.61928
"724",0.097,47.73678
"725",0.097,150.21443
"726",0.097,105.83703
"727",0.097,193.06456
"728",0.097,185.88083
"729",0.097,156.21538
"730",0.097,82.85027
"731",0.097,27.02979
"732",0.097,12.18925
"733",0.097,12.61919
"734",0.097,15.47538
"735",0.097,9.61121
"736",0.097,13.30029
"737",0.097,28.22323
"738",0.097,38.70961
"739",0.097,58.65699
"740",0.097,67.39712
"741",0.097,114.12227
"742",0.097,97.12901
"743",0.097,82.3285
"744",0.097,60.17751
"745",0.097,63.63435
"746",0.097,69.71268
"747",0.097,58.07971
"748",0.097,49.67371
"749",0.097,54.21345
"750",0.097,28.51466
"751",0.097,30.50455
"752",0.097,44.67275
"753",0.097,146.90944
"754",0.097,187.61363
"755",0.097,251.18474
"756",0.097,107.15905
"757",0.097,108.2517
"758",0.097,87.85751
"759",0.097,100.63898
"760",0.097,160.30658
"761",0.097,13.34287
"762",0.097,25.48095
"763",0.097,20.51668
"764",0.097,36.10065
"765",0.097,114.68068
"766",0.097,203.48117
"767",0.097,114.41189
"768",0.097,87.3779
"769",0.097,72.25356
"770",0.097,45.00597
"771",0.097,29.32927
"772",0.097,18.25997
"773",0.097,16.451
"774",0.097,16.42063
"775",0.097,9.05844
"776",0.097,8.84621
"777",0.097,20.25718
"778",0.097,32.69968
"779",0.097,45.78859
"780",0.097,62.94139
"781",0.097,65.86124
"782",0.097,44.79528
"783",0.097,43.49659
"784",0.097,33.08149
"785",0.097,30.53484
"786",0.097,44.93161
"787",0.097,65.84808
"788",0.097,46.5895
"789",0.097,19.199
"790",0.097,30.75874
"791",0.097,44.277
"792",0.097,42.55877
"793",0.097,100.15269
"794",0.097,231.93047
"795",0.097,154.07159
"796",0.097,269.59656
"797",0.097,176.91757
"798",0.097,183.2822
"799",0.097,215.82036
"800",0.097,161.31427
"801",0.097,348.33728
"802",0.097,688.24835
"803",0.097,523.59491
"804",0.097,131.99846
"805",0.097,44.85678
"806",0.097,38.46828
"807",0.097,25.03069
"808",0.097,25.70334
"809",0.097,63.79793
"810",0.097,68.86154
"811",0.097,115.93472
"812",0.097,247.20427
"813",0.097,642.83911
"814",0.097,2067.23682
"815",0.097,3117.15381
"816",0.097,2987.65259
"817",0.097,3627.79541
"818",0.097,2657.30151
"819",0.097,2232.29272
"820",0.097,591.75854
"821",0.097,133.34299
"822",0.097,33.73117
"823",0.097,24.29872
"824",0.097,6.30793
"825",0.097,3.23946
"826",0.097,1.57218
"827",0.097,1.37037
"828",0.097,1.48729
"829",0.097,2.06521
"830",0.097,3.07043
"831",0.097,3.50886
"832",0.097,7.87253
"833",0.097,10.06532
"834",0.097,14.82594
"835",0.097,40.34941
"836",0.097,75.65131
"837",0.097,122.15236
"838",0.097,250.62949
"839",0.097,276.53671
"840",0.097,398.61523
"841",0.097,357.13034
"842",0.097,1010.24335
"843",0.097,533.31781
"844",0.097,134.17334
"845",0.097,60.86199
"846",0.097,51.52577
"847",0.097,38.06758
"848",0.097,22.00132
"849",0.097,47.00847
"850",0.097,136.2085
"851",0.097,235.56277
"852",0.097,375.52423
"853",0.097,951.42365
"854",0.097,1761.11719
"855",0.097,4547.54346
"856",0.097,4943.99854
"857",0.097,7253.97607
"858",0.097,10053.79688
"859",0.097,2587.89868
"860",0.097,877.7262
"861",0.097,123.29031
"862",0.097,26.3625
"863",0.097,27.29124
"864",0.097,11.51637
"865",0.097,5.92171
"866",0.097,1.6931
"867",0.097,1.20831
"868",0.097,1.43927
"869",0.097,1.26116
"870",0.097,1.97267
"871",0.097,3.65606
"872",0.097,5.74243
"873",0.097,18.92443
"874",0.097,57.8208
"875",0.097,85.46857
"876",0.097,152.64746
"877",0.097,306.43567
"878",0.097,407.76651
"879",0.097,424.14392
"880",0.097,263.61975
"881",0.097,410.19553
"882",0.097,724.19391
"883",0.097,443.93817
"884",0.097,162.49863
"885",0.097,60.3309
"886",0.097,43.61284
"887",0.097,73.14439
"888",0.097,50.18292
"889",0.097,100.05107
"890",0.097,174.39217
"891",0.097,233.49515
"892",0.097,515.82971
"893",0.097,1238.12537
"894",0.097,2957.45532
"895",0.097,3192.94751
"896",0.097,8139.87207
"897",0.097,7191.62549
"898",0.097,5360.88037
"899",0.097,2392.44629
"900",0.097,724.25348
"901",0.097,152.74146
"902",0.097,87.9015
"903",0.097,45.12902
"904",0.097,26.09325
"905",0.097,12.19597
"906",0.097,3.06201
"907",0.097,3.92428
"908",0.097,1.44178
"909",0.097,0.59108
"910",0.097,1.36429
"911",0.097,2.49294
"912",0.097,8.46855
"913",0.097,56.57372
"914",0.097,97.15464
"915",0.097,137.9657
"916",0.097,310.56934
"917",0.097,404.91656
"918",0.097,282.65942
"919",0.097,238.63557
"920",0.097,171.65327
"921",0.097,213.30774
"922",0.097,379.5307
"923",0.097,185.53847
"924",0.097,101.70883
"925",0.097,49.12094
"926",0.097,67.25886
"927",0.097,73.3717
"928",0.097,93.33236
"929",0.097,96.61973
"930",0.097,322.43961
"931",0.097,360.48108
"932",0.097,654.98596
"933",0.097,757.78668
"934",0.097,2772.05005
"935",0.097,4651.15039
"936",0.097,1974.18884
"937",0.097,3240.86401
"938",0.097,2602.77588
"939",0.097,1140.84863
"940",0.097,599.03827
"941",0.097,178.75204
"942",0.097,53.095
"943",0.097,19.77752
"944",0.097,14.24361
"945",0.097,14.04002
"946",0.097,5.22487
"947",0.097,4.41748
"948",0.097,1.87435
"949",0.097,1.18108
"950",0.097,1.98579
"951",0.097,7.33374
"952",0.097,17.48134
"953",0.097,46.61957
"954",0.097,115.65895
"955",0.097,102.23823
"956",0.097,211.3353
"957",0.097,249.73563
"958",0.097,182.15837
"959",0.097,186.66203
"960",0.097,212.5524
"961",0.097,191.55176
"962",0.097,374.84778
"963",0.097,153.53894
"964",0.097,83.65654
"965",0.097,56.39444
"966",0.097,88.28243
"967",0.097,115.93353
"968",0.097,123.01049
"969",0.097,204.66663
"970",0.097,278.15326
"971",0.097,292.70306
"972",0.097,412.58527
"973",0.097,1038.83704
"974",0.097,1679.91199
"975",0.097,3627.66309
"976",0.097,6610.01318
"977",0.097,3782.4397
"978",0.097,2051.32178
"979",0.097,1303.95398
"980",0.097,681.52429
"981",0.097,120.74154
"982",0.097,32.90183
"983",0.097,21.04705
"984",0.097,10.73621
"985",0.097,10.33518
"986",0.097,4.55268
"987",0.097,3.98613
"988",0.097,5.82053
"989",0.097,3.51048
"990",0.097,4.24462
"991",0.097,12.1389
"992",0.097,33.45841
"993",0.097,45.20771
"994",0.097,80.54361
"995",0.097,57.00404
"996",0.097,112.58764
"997",0.097,164.75505
"998",0.097,218.32471
"999",0.097,137.95778
"1000",0.097,92.53789
"1001",0.097,127.1523
"1002",0.097,165.48236
"1003",0.097,127.23
"1004",0.097,64.26595
"1005",0.097,72.91834
"1006",0.097,66.51614
"1007",0.097,70.20916
"1008",0.097,164.26407
"1009",0.097,295.04007
"1010",0.097,391.4097
"1011",0.097,356.58228
"1012",0.097,446.11569
"1013",0.097,1136.11353
"1014",0.097,3200.38135
"1015",0.097,3286.30298
"1016",0.097,4604.6084
"1017",0.097,4369.73389
"1018",0.097,2097.70923
"1019",0.097,2106.18262
"1020",0.097,701.14789
"1021",0.097,335.16058
"1022",0.097,55.74224
"1023",0.097,37.37659
"1024",0.097,17.08264
"1025",0.097,10.08102
"1026",0.097,5.92429
"1027",0.097,5.11352
"1028",0.097,9.34759
"1029",0.097,10.24608
"1030",0.097,11.21302
"1031",0.097,19.81229
"1032",0.097,16.25486
"1033",0.097,24.40015
"1034",0.097,24.99852
"1035",0.097,24.38786
"1036",0.097,71.98324
"1037",0.097,153.36983
"1038",0.097,181.12831
"1039",0.097,183.31241
"1040",0.097,92.52343
"1041",0.097,193.03343
"1042",0.097,197.0966
"1043",0.097,75.69164
"1044",0.097,46.89241
"1045",0.097,43.86529
"1046",0.097,75.27272
"1047",0.097,68.26607
"1048",0.097,131.72801
"1049",0.097,125.3993
"1050",0.097,276.82336
"1051",0.097,182.3555
"1052",0.097,728.24164
"1053",0.097,2285.54736
"1054",0.097,3348.39478
"1055",0.097,5347.53027
"1056",0.097,4247.52295
"1057",0.097,2637.1665
"1058",0.097,3779.77856
"1059",0.097,2577.37329
"1060",0.097,1047.11255
"1061",0.097,399.98444
"1062",0.097,185.8951
"1063",0.097,66.44005
"1064",0.097,26.79909
"1065",0.097,15.45283
"1066",0.097,6.79897
"1067",0.097,6.54633
"1068",0.097,12.23872
"1069",0.097,12.54645
"1070",0.097,11.09933
"1071",0.097,17.13852
"1072",0.097,25.29068
"1073",0.097,18.57147
"1074",0.097,7.3835
"1075",0.097,10.81855
"1076",0.097,34.20653
"1077",0.097,66.33655
"1078",0.097,53.43598
"1079",0.097,106.12253
"1080",0.097,65.88359
"1081",0.097,179.49692
"1082",0.097,147.76427
"1083",0.097,120.35632
"1084",0.097,84.01694
"1085",0.097,49.10344
"1086",0.097,46.59665
"1087",0.097,61.25815
"1088",0.097,130.82521
"1089",0.097,187.0112
"1090",0.097,151.76134
"1091",0.097,180.85516
"1092",0.097,505.56506
"1093",0.097,1099.14441
"1094",0.097,2622.75537
"1095",0.097,4827.93213
"1096",0.097,4148.98096
"1097",0.097,3238.0498
"1098",0.097,2618.53564
"1099",0.097,2441.86597
"1100",0.097,1756.27917
"1101",0.097,1215.29846
"1102",0.097,569.36169
"1103",0.097,190.49698
"1104",0.097,59.95755
"1105",0.097,20.21816
"1106",0.097,9.57164
"1107",0.097,5.93967
"1108",0.097,8.42
"1109",0.097,14.32551
"1110",0.097,8.04279
"1111",0.097,16.14309
"1112",0.097,26.68053
"1113",0.097,19.66562
"1114",0.097,20.77327
"1115",0.097,7.83315
"1116",0.097,16.62844
"1117",0.097,33.07198
"1118",0.097,31.63206
"1119",0.097,69.34456
"1120",0.097,99.35365
"1121",0.097,118.91641
"1122",0.097,135.58102
"1123",0.097,118.99959
"1124",0.097,69.4798
"1125",0.097,70.72241
"1126",0.097,79.44025
"1127",0.097,113.37536
"1128",0.097,122.06467
"1129",0.097,101.07376
"1130",0.097,83.97386
"1131",0.097,135.26974
"1132",0.097,208.27693
"1133",0.097,817.94104
"1134",0.097,1161.18713
"1135",0.097,2710.05713
"1136",0.097,2946.2749
"1137",0.097,2556.31055
"1138",0.097,2508.3291
"1139",0.097,2399.40967
"1140",0.097,3550.46558
"1141",0.097,1599.95215
"1142",0.097,587.63733
"1143",0.097,198.89452
"1144",0.097,80.44321
"1145",0.097,54.0059
"1146",0.097,13.29999
"1147",0.097,10.30843
